feature,importance
numeric__rolling_mean_14,0.5004495013838873
numeric__rolling_mean_7,0.24437979671882695
numeric__rolling_mean_30,0.05895914039066401
numeric__discount_percent,0.05435523133003
numeric__lag_7,0.0357644724995886
numeric__lag_14,0.032343723055201216
numeric__day_of_week,0.007123453178279979
numeric__is_weekend,0.005880492807447086
numeric__lag_1,0.0052552273044943875
numeric__rolling_std_7,0.004563748942873255
numeric__week_of_year,0.004514701734869101
numeric__day_of_month,0.004374919790979967
numeric__lag_30,0.003993062908288393
numeric__rolling_median_7,0.003936701410753847
numeric__net_unit_price,0.0036266273785286536
categorical__category_Snack,0.0033232089342202873
numeric__month,0.002397127704728924
categorical__promo_category_no_promo_Snack,0.0023543140770721535
categorical__promo_category_promo_Beverage,0.001510820953551203
categorical__promo_category_no_promo_Beverage,0.0014998471348046279
numeric__promo_days_since_start,0.0013743843625183816
categorical__category_month_Beverage_5,0.0012244591512483704
categorical__store_type_category_Central_Snack,0.001201982736592025
numeric__unit_price,0.0011746369453323733
numeric__promo_days_until_end,0.0011029502415879151
categorical__category_Beverage,0.0010615096585135527
categorical__promotion_id_PROMO00,0.0008098427229794565
categorical__promo_category_promo_Snack,0.0007349911681975419
categorical__category_month_Snack_11,0.0007025082056321649
numeric__has_promo,0.0006700833265583546
